,dg_id,player_name,12_mo_long_game,12_mo_short_game,#_of_rounds,tour
347,17509,"Seiffert, Chase",0.04386611571383732,-0.5767927411835455,60.0,pga
348,17511,"Straka, Sepp",0.8798159762493091,-0.3324227774071196,93.0,pga
349,17536,"Spaun, J.J.",0.45508247992677037,-0.04482944315860385,86.0,pga
350,17538,"Homa, Max",0.004389292178339986,0.40059743641013285,87.0,pga
351,17543,"Kim, Michael",-0.017933842859107953,0.012827061029440319,82.0,pga
352,17550,"van Rooyen, Erik",0.35188039027969337,0.19464535837543337,97.0,pga
354,17570,"Creel, Joshua",-0.9847753862725109,-0.07585790487544396,51.0,pga
355,17576,"Conners, Corey",1.3717673057253053,-0.08218188607409624,95.0,pga
356,17584,"McCumber, Tyler",-0.07769589632068541,-0.45030078851306465,66.0,pga
357,17606,"Berger, Daniel",0.2916528151754684,-0.3373144647303943,69.0,pga
358,17639,"Blair, Zac",-0.31027798328577794,-0.050470899928583106,84.0,pga
359,17646,"Fitzpatrick, Matt",0.06645229259580054,0.6375216140182872,94.0,pga
361,17723,"Lower, Justin",-0.0677740088795202,0.21875832880388532,101.0,pga
362,17780,"Pendrith, Taylor",0.4475846332115008,0.5638384507943471,93.0,pga
363,17786,"Davis, Cam",0.16689173601672422,-0.08004064008650444,91.0,pga
366,17881,"Yu, Kevin",0.7806613452557298,-0.6253636174200466,85.0,pga
369,18103,"Bezuidenhout, Christiaan",0.1539659910297436,0.8115410972014869,109.0,pga
372,18164,"Wolfe, Jared",-0.38465322114065015,-0.4365582456512109,59.0,pga
374,18187,"Duncan, Tyler",-0.42467580486903406,-0.26904428769381156,74.0,pga
380,18417,"Scheffler, Scottie",2.4846529799335904,0.698197730026045,83.0,pga
381,18424,"Roy, Kevin",0.2667264345679634,-0.42827937037661007,51.0,pga
382,18474,"Smalley, Alex",0.13002187314375213,-0.6304293160912573,80.0,pga
386,18536,"McCormick, Ryan",-0.7864333699705348,-0.28032881842397506,49.0,pga
387,18554,"Rai, Aaron",0.8930090877652578,0.19641895702376216,103.0,pga
389,18579,"Cook, Austin",-1.2247990923295933,0.06160590916344513,56.0,pga
393,18634,"McNealy, Maverick",0.12482803115663116,0.6023176238944832,89.0,pga
394,18635,"Shelton, Robby",-0.8256353207244554,0.19772611771053503,80.0,pga
397,18695,"Hagy, Brandon",-0.4580037486378699,-0.5788301585004192,82.0,pga
402,18841,"Hovland, Viktor",1.2229748874128934,-0.2931250545197817,73.0,pga
407,19195,"Rahm, Jon",0.6866323993782657,0.2880030984539062,69.0,pga
408,19208,"Endycott, Harrison",-0.6687990450842974,-0.6280034065896389,73.0,pga
411,19364,"Werenski, Richy",-1.431348388324996,-0.30867481979011746,57.0,pga
412,19395,"Thompson, Curtis",-0.6523634777202777,-0.3737929207182267,66.0,pga
413,19396,"Knapp, Jake",0.0671757072628958,-0.21675240283413763,78.0,pga
414,19428,"Zalatoris, Will",0.6486904894012485,-0.187439129154926,74.0,pga
416,19477,"Schenk, Adam",-0.22043976595318504,-0.02372860699072607,93.0,pga
417,19483,"Burns, Sam",0.45545347207098674,0.7821820682916735,81.0,pga
420,19643,"Reeves, Seth",-0.20741813735011863,-0.7832386105742642,69.0,pga
423,19738,"Dougherty, Kevin",0.13739800238911454,-0.9111995207832618,59.0,pga
425,19840,"Ramey, Chad",-0.6371955748735788,0.5180809807765554,80.0,pga
429,19865,"Hardy, Nick",0.49056032811342215,-0.5908827063017946,98.0,pga
431,19870,"McCarthy, Denny",-0.17555426654746878,1.146156574257114,87.0,pga
432,19872,"Riley, Davis",-0.8795751880364031,0.2064083250622887,80.0,pga
433,19895,"Schauffele, Xander",1.519235274535947,1.030351619239479,87.0,pga
436,19909,"Gellerman, Michael",0.9787349051577898,-1.4030497521147205,50.0,pga
437,19948,"Taylor, Ben",-0.9127051244077045,0.2535711429483229,85.0,pga
